AXVISOR_RT_HOST_TRACE schema=1 vm=1 counter_frequency_hz=24000000 start_ticks=1931969768 end_ticks=2055328787 records=1094 dropped=0 incomplete=0 failed_injections=0 unowned_virtual_timer_irqs=0 counter_frequency_mismatches=0
AXVISOR_RT_HOST_IRQ schema=1 sequence=81 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1966073082 guest_counter_ticks=34222937 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=82 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1966112751 guest_counter_ticks=34262606 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=83 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1966312727 guest_counter_ticks=34462582 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=84 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1966352851 guest_counter_ticks=34502706 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=85 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1966552603 guest_counter_ticks=34702458 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=86 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1966710866 guest_counter_ticks=34860721 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=87 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1966832680 guest_counter_ticks=34982535 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=88 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1967032656 guest_counter_ticks=35182511 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=89 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1967072759 guest_counter_ticks=35222614 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=90 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1967272469 guest_counter_ticks=35422324 forwarding_ticks=7 injected=1
